ID,species_code,family,genus,species,scientific_name,Native,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
1,aldeur,Betulaceae,Alder,European Alder,Alnus glutinosa,No,30,species,Deciduous,"Europe, North Africa, Western Asia, Siberia",T,0.6,0.79
2,aldspe,Betulaceae,Alder,Speckled Alder,Alnus rugosa,Yes,12,species,Deciduous,"Canada, Northern U.S.A",T,0.6,0.79
3,aldspp,Betulaceae,Alder,Alder species,Alnus spp,N/A,,genus,Deciduous,,T,,0.79
4,aldwhi,Betulaceae,Alder,European White Alder,Alnus incana,No,,species,Deciduous,"Europe, Caucasus",T,0.6,0.79
6,appcom,Rosaceae,Apple,Common Apple,Malus domestica,No,,species,Deciduous,Europe and Western Asia,T,,
8,appspp,Rosaceae,Apple,Apple species,Malus spp,N/A,45,genus,Deciduous,,T,,
64,crajap,Rosaceae,Apple/Crabapple,Japanese Crabapple(s),Malus x floribunda,No,30,species,Deciduous,,T,0.5,0.85
65,crawil,Rosaceae,Apple/Crabapple,Wild Crab,Malus coronaria,Yes,,species,Deciduous,"Southern Ontario, Eastern U.S.A.",T,0.5,0.85
7,appcra,Rosaceae,Apple/Crabapple,Crabapple,Malus hybrids,N/A,30,species,Deciduous,Various,T,0.5,0.85
282,aprico,Rosaceae,Apricot,Apricot,Prunus armeniaca,No,50,species,Deciduous,Europe,T,,
9,ashbla,Oleaceae,Ash,Black Ash,Fraxinus nigra,Yes,20,species,Deciduous,"Southeastern Ontario, Northeastern USA",T,0.57,0.84
10,ashblu,Oleaceae,Ash,Blue Ash,Fraxinus quadrangulata,No,90,species,Deciduous,"Michigan, Arkansas, Tennessee",T,0.6,0.84
11,asheur,Oleaceae,Ash,Europen Ash,Fraxinus excelsior,No,50,species,Deciduous,"Europe, SW Asia",T,0.6,0.85
12,ashgre,Oleaceae,Ash,Green Ash,Fraxinus pennsylvanica,Yes,,species,Deciduous,Great Lakes-St. Lawrence and Acadian Forest region and the South-Western prairies,T,0.67,0.83
13,ashman,Oleaceae,Ash,Manchurian Ash,Fraxinus mandshurica,No,,species,Deciduous,,T,0.5,0.84
14,ashspp,Oleaceae,Ash,Ash species,Fraxinus spp,N/A,75,genus,Deciduous,,T,,0.84
15,ashwhi,Oleaceae,Ash,White Ash,Fraxinus americana,Yes,45,species,Deciduous,North-East US,T,0.72,0.84
19,beeame,Fagaceae,Beech,American Beech,Fagus grandifolia,Yes,45,species,Deciduous,Eastern North America,T,0.7,0.88
21,beeeur,Fagaceae,Beech,European Beech,Fagus sylvatica,No,60,species,Deciduous,Europe,T,0.83,0.88
22,beespp,Fagaceae,Beech,Beech species,Fagus spp,N/A,80,genus,Deciduous,,T,,0.88
312,birala,Betulaceae,Birch,Alaskan Birch,Betula neoalaskana,No,15,species,Deciduous,North America: Across Canada,T,,0.82
23,birche,Betulaceae,Birch,Cherry Birch,Betula lenta,Yes,100,species,Deciduous,Eastern U.S.A.,T,0.55,0.82
24,bireur,Betulaceae,Birch,European White Birch,Betula pendula,No,,species,Deciduous,"Europe, SW Asia, N. Africa",T,0.5,0.82
25,birgra,Betulaceae,Birch,Gray Birch,Betula populifolia,Yes,15,species,Deciduous,SE Canada,T,0.55,0.82
26,birhim,Betulaceae,Birch,Whitebarked Himalayan,Betula  jacquemontii,No,,species,Deciduous,"NW Himalayas, Nepal",T,0.55,0.82
27,birriv,Betulaceae,Birch,River Birch,Betula occidentalis,No,30,species,Deciduous,,T,0.7,0.82
28,birspp,Betulaceae,Birch,Birch species,Betula spp,N/A,15,genus,Deciduous,,T,,0.82
29,birwhi,Betulaceae,Birch,White Birch,Betula papyrifera,Yes,20,species,Deciduous,North America: Across Canada,T,0.5,0.82
30,biryel,Betulaceae,Birch,Yellow Birch,Betula alleghaniensis,Yes,25,species,Deciduous,"SE Canada, NE U.S.A.",T,0.64,0.82
