species name
European Alder
Speckled Alder
Alder species
European White Alder
Amur Maackia
Common Apple
Crabapple
Apple species
Apricot
Black Ash
Blue Ash
European Ash
Green Ash
Manchurian Ash
Ash species
White Ash
Largetooth Aspen
Trembling Aspen
Basswood
American Beech
Blue Beech
European Beech
Beech species
Alaskan Birch
Cherry Birch
European White Birch
Gray Birch
Whitebarked Himalayan
River Birch
Birch species
White Birch
Yellow Birch
Ohio Buckeye
Red Buckeye
Sweet Buckeye
Yellow Buckeye
European/Common Buckthorn
Glossy Buckthorn
Buckthorn
Butternut
Chinese Catalpa
Northern Catalpa
Southern Catalpa
Catalpa species
Japanise Ceder
Oriental Cedar
Red Cedar
Cedar (Thuja)
Eastern White Cedar
Yellow Cedar
American Chestnut
Black Cherry
Chinese Chestnut
Choke Cherry
European Bird Cherry
Cherry (Fruit)
Hugan Cherry
Oriental Cherry
Pin Cherry
Purpleleaf Sand Cherry
Sargent Cherry
Cherry species
Chestnut species
Kentucky Coffetree
Amur Corktree
Eastern Cottonwood
Japanese Crabapple(s)
Wild Crab
Cucumber Tree
dead tree
Devils-walkingstick
Alternate-Leaf Dogwood
Chinese Dogwood
Cornelian cherry dogwood
Eastern Flowering Dogwood
Gray Dogwood
Red Osier Dogwood
Dogwood species
Elder species
American Elm
Camperdown Elm
Chinese Elm
Dutch Elm
English Elm
Jersey Elm
Rock Elm
Scotch Elm
Siberian Elm
Slippery Elm
Elm species
European Euonymus
Euonymus species
Balsam Fir
Douglas Fir
Fraser Fir
Grand Fir
Fir species
White Fir
Double Flowering Plum
Ginkgo
Goldenchain Tree
Black Gum
Hackberry
Cockspur Hawthorn
Downy Hawthorn
English Hawthorn
Lavalle Hawthorn
Scarlet Hawthorn
Singleseed Hawthorne
Hawthorn species
Hazel Nuts
Turkish Hazelnut
Witch hazel
Eastern Hemlock
Bitternut Hickory
Pignut Hickory
Shagbark Hickory
Big Shellbark Hickory
Hickory species
Holly
Fly Honeysuckle
Honeysuckle species
Hope Tree
Common Horsechestnut
European Hornbeam
Red Horsechestnut
Hornbeam Species
Poplar hybrid
Ironwood
Japanese Pagoda Tree
Chinese Juniper
Common juniper
Creeping Juniper
Savin Juniper
Juniper species
Kalopanax
Katsura Tree
Euopean Larch
Japanese Larch
Larch species
Common Lilac
Japanese Tree Lilac
Lilac species
Bigleaf Linden
European Linden
Hybrid Little-Leaf Linden
Little-Leaf Linden
Silver Linden
Linden species
Black Locust
Honey Locust
Saucer Magnolia
Magnolia species
Star Magnolia
Umbrella Magnolia
Amur Maple
Black Maple
Freman Maple
Hedge Maple
Japanese Maple
Manitoba Maple
Mountain Maple
Norway Maple
Paperbark Maple
Red Maple
Silver Maple
Maple species
Striped Maple
Sugar Maple
Sycamore Maple
Tatarian Maple
American Mountain-ash
Chinese Mountain-ash
Cutleaf Mountain-ash
European Mountain-ash
Finnish Whitebeam
Korean Mountain-ash
Showy Mountain-ash
Mountin-Ash species
Whitebeam Mountain-ash
Black Mulberry
Red Mulberry
Mulberry species
White Mulberry
Nanny Berry
Black Oak
Bur Oak
Chinkapin Oak
English Oak
Garry Oak
Hill's Oak
Mountain Oak/Blue Oak
Pin Oak
Red Oak
Scarlet Oak
Shingle Oak
Shumard Oak
Oak species
Swamp White Oak
White Oak
Russian Olive
Osage Orange
Paulownia / Princess Tree
Pawpaw
Peach
Common Pear
Flowering Pear
Harbin Pear
Pear/Flowering Pear species
Weeping Peashrub
Persimmon
Austrian Pine
Bristlecone Pine
Himalayan Pine
Jack Pine
Loblolly Pine
Mugo Pine
Pitch Pine
Ponderosa Pine
Red Pine
Scot's Pine
Pine species
Western White Pine
White Pine
London Plane
Plane-Sycamore species
American Plum
Canada Plum
Myrobalan Plum
Port Orford Cedar
Balsam Poplar
Black Poplar
Carolina Poplar
Poplar species
European White Poplar
Cherry/Plum species
Goldenrain Tree
Redbud
Dawn Redwood
Redwood
rose
Rose-of-Sharon
Sassafras
Downy Serviceberry
Smooth-Leaved Serviceberry
Serviceberry species
Serviceberry
Carolina Silverbell
Smoketree
snag
Black Spruce
Blue Spruce
Engleman Spruce
Norway Spruce
Red Spruce
Serbian Spruce
Spruce species
White Spruce
Sumac species
Sweetgum
Sycamore
Tamarack
Tree of Heaven
Tulip Tree
unknown species
Nannyberry
Black Walnut
English Walnut
Manchurian Walnut
Walnut/Butternut species
Wayfaring Tree
Western Red Cedar
Swedish White Beam
Arctic Willow
Bay (leaved) Willow
Bebb's Willow
Black Willow
Corkscrew Willow
Crack Willow
False mountain willow
Goat Willow
Peach Leaf Willow
Pussy Willow
Shining Willow
Willow species
Golden Weeping Willow
White Willow
Wingnut
plantable spot
American Yellowwood
Common Yew
European Yew
Upright Japanese Yew
Yew species
Japanese zelkova
